city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s,num_inserted
149,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0,
149,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0,
149,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0,
149,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,2,122.0,100.07,139.2,2.0
149,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,4,318.0,125.0,256.2,4.0
149,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,3,68.0,136.85,178.5,3.0
149,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,1,18.0,142.53,48.8,3.0
149,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,2,169.0,146.86,75.2,2.0
149,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,4.0,153.97,52.6,1.0
149,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,3,459.0,164.36,199.3,3.0
149,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,1,12.0,164.6,78.5,1.0
149,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,1,15.0,165.13,82.7,1.0
149,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0,
149,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0,
149,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,0,,,0.0,
149,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,2,20.0,171.93,135.7,2.0
149,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0,
149,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,0,,,0.0,
149,2025-07-21,19,2025-07-21 15:30:00-05:00,2025-07-21 16:00:00-05:00,2025-07-21 16:00:00-05:00,0,,,0.0,
149,2025-07-21,20,2025-07-21 16:00:00-05:00,2025-07-21 16:30:00-05:00,2025-07-21 16:30:00-05:00,1,3.0,173.59,79.7,1.0
1,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0,
1,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0,
1,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0,
1,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0,
1,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,2,51.0,61.86,62.5,4.0
1,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0,
1,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0,
1,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0,
1,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,1,4.0,70.25,27.1,1.0
150,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0,
150,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0,
150,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0,
150,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0,
150,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,0,,,0.0,
150,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0,
150,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0,
150,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,0,,,0.0,
150,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,0,,,0.0,
150,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,0,,,0.0,
150,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,0,,,0.0,
150,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,0,,,0.0,
150,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0,
150,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0,
150,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,0,,,0.0,
150,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,0,,,0.0,
150,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0,
150,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,1,2.0,9.36,4.7,1.0
844,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,0,,,0.0,
844,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0,
844,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0,
844,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,1,1.0,7.73,4.8,3.0
1004,2025-07-21,1,2025-07-21 00:00:00-05:00,2025-07-21 07:00:00-05:00,2025-07-21 07:00:00-05:00,1,49.0,87.15,50.2,3.0
1004,2025-07-21,2,2025-07-21 07:00:00-05:00,2025-07-21 07:30:00-05:00,2025-07-21 07:30:00-05:00,0,,,0.0,
1004,2025-07-21,3,2025-07-21 07:30:00-05:00,2025-07-21 08:00:00-05:00,2025-07-21 08:00:00-05:00,0,,,0.0,
1004,2025-07-21,4,2025-07-21 08:00:00-05:00,2025-07-21 08:30:00-05:00,2025-07-21 08:30:00-05:00,0,,,0.0,
1004,2025-07-21,5,2025-07-21 08:30:00-05:00,2025-07-21 09:00:00-05:00,2025-07-21 09:00:00-05:00,1,4.0,87.25,32.4,3.0
1004,2025-07-21,6,2025-07-21 09:00:00-05:00,2025-07-21 09:30:00-05:00,2025-07-21 09:30:00-05:00,0,,,0.0,
1004,2025-07-21,7,2025-07-21 09:30:00-05:00,2025-07-21 10:00:00-05:00,2025-07-21 10:00:00-05:00,0,,,0.0,
1004,2025-07-21,8,2025-07-21 10:00:00-05:00,2025-07-21 10:30:00-05:00,2025-07-21 10:30:00-05:00,1,4.0,113.24,33.1,1.0
1004,2025-07-21,9,2025-07-21 10:30:00-05:00,2025-07-21 11:00:00-05:00,2025-07-21 11:00:00-05:00,0,,,0.0,
1004,2025-07-21,10,2025-07-21 11:00:00-05:00,2025-07-21 11:30:00-05:00,2025-07-21 11:30:00-05:00,0,,,0.0,
1004,2025-07-21,11,2025-07-21 11:30:00-05:00,2025-07-21 12:00:00-05:00,2025-07-21 12:00:00-05:00,0,,,0.0,
1004,2025-07-21,12,2025-07-21 12:00:00-05:00,2025-07-21 12:30:00-05:00,2025-07-21 12:30:00-05:00,1,46.0,115.17,51.1,3.0
1004,2025-07-21,13,2025-07-21 12:30:00-05:00,2025-07-21 13:00:00-05:00,2025-07-21 13:00:00-05:00,0,,,0.0,
1004,2025-07-21,14,2025-07-21 13:00:00-05:00,2025-07-21 13:30:00-05:00,2025-07-21 13:30:00-05:00,0,,,0.0,
1004,2025-07-21,15,2025-07-21 13:30:00-05:00,2025-07-21 14:00:00-05:00,2025-07-21 14:00:00-05:00,1,1.0,121.85,31.4,1.0
1004,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,0,,,0.0,
1004,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0,
1004,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,1,2.0,127.73,30.5,1.0
149,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0,
149,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0,
149,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,1,19.0,222.59,86.4,1.0
149,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,1,1.0,222.59,85.4,1.0
149,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,2,39.0,225.35,144.9,3.0
149,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0,
149,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,3,682.0,237.69,215.6,3.0
149,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,0,,,0.0,
149,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,2,36.0,247.28,156.2,2.0
149,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,3,120.0,260.28,218.7,3.0
149,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,2,13.0,262.66,152.4,2.0
149,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,2,83.0,273.57,157.4,2.0
149,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,1,3.0,277.03,94.1,1.0
149,2025-07-22,14,2025-07-22 13:00:00-05:00,2025-07-22 13:30:00-05:00,2025-07-22 13:30:00-05:00,0,,,0.0,
149,2025-07-22,15,2025-07-22 13:30:00-05:00,2025-07-22 14:00:00-05:00,2025-07-22 14:00:00-05:00,1,21.0,280.25,91.8,1.0
149,2025-07-22,16,2025-07-22 14:00:00-05:00,2025-07-22 14:30:00-05:00,2025-07-22 14:30:00-05:00,1,6.0,284.59,88.4,1.0
149,2025-07-22,17,2025-07-22 14:30:00-05:00,2025-07-22 15:00:00-05:00,2025-07-22 15:00:00-05:00,1,1.0,290.13,88.6,1.0
1004,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0,
1004,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0,
1004,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,0,,,0.0,
1004,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,0,,,0.0,
1004,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,1,1.0,67.13,29.6,1.0
1004,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0,
1004,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,1,11.0,66.07,31.8,1.0
1004,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,1,4.0,69.99,32.6,3.0
1004,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,0,,,0.0,
1004,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,0,,,0.0,
1004,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,0,,,0.0,
1004,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,1,3.0,77.77,31.6,1.0
1004,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,1,2.0,87.13,31.7,1.0
149,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
149,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
149,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
149,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,2,90.0,154.11,125.9,2.0
149,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,3,582.0,178.93,182.5,3.0
149,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,1,10.0,182.57,78.9,1.0
149,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
149,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
149,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
149,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,2,60.0,187.79,133.4,2.0
149,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,7.0,192.01,77.4,1.0
149,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,1,5.0,192.83,78.8,1.0
149,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,2,122.0,201.98,133.2,2.0
149,2025-07-23,14,2025-07-23 13:00:00-05:00,2025-07-23 13:30:00-05:00,2025-07-23 13:30:00-05:00,0,,,0.0,
149,2025-07-23,15,2025-07-23 13:30:00-05:00,2025-07-23 14:00:00-05:00,2025-07-23 14:00:00-05:00,1,9.0,208.31,77.3,1.0
149,2025-07-23,16,2025-07-23 14:00:00-05:00,2025-07-23 14:30:00-05:00,2025-07-23 14:30:00-05:00,0,,,0.0,
149,2025-07-23,17,2025-07-23 14:30:00-05:00,2025-07-23 15:00:00-05:00,2025-07-23 15:00:00-05:00,1,7.0,209.74,78.2,1.0
149,2025-07-23,18,2025-07-23 15:00:00-05:00,2025-07-23 15:30:00-05:00,2025-07-23 15:30:00-05:00,0,,,0.0,
149,2025-07-23,19,2025-07-23 15:30:00-05:00,2025-07-23 16:00:00-05:00,2025-07-23 16:00:00-05:00,1,2.0,212.76,78.0,1.0
149,2025-07-23,20,2025-07-23 16:00:00-05:00,2025-07-23 16:30:00-05:00,2025-07-23 16:30:00-05:00,0,,,0.0,
149,2025-07-23,21,2025-07-23 16:30:00-05:00,2025-07-23 17:00:00-05:00,2025-07-23 17:00:00-05:00,1,5.0,216.09,79.2,1.0
1,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
1,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
1,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
1,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,1,4.0,34.04,24.1,1.0
1,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,2,24.0,35.19,40.9,2.0
1,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,2,11.0,37.84,43.1,2.0
1,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
1,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
1,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,3,25.0,51.87,57.1,3.0
1,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0,
1,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,0,,,0.0,
1,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,0,,,0.0,
1,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,1,2.0,57.55,27.6,1.0
126,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
126,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
126,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
126,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,1,11.0,12.41,4.9,3.0
126,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,0,,,0.0,
126,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,0,,,0.0,
126,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
126,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
126,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
126,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0,
126,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,2.0,12.41,5.1,3.0
1004,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
1004,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
1004,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
1004,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,0,,,0.0,
1004,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,0,,,0.0,
1004,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,2,8.0,73.49,51.0,2.0
1004,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
1004,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
1004,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
1004,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0,
1004,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,4.0,79.74,30.3,1.0
1004,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,1,7.0,81.89,30.5,1.0
1004,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,0,,,0.0,
1004,2025-07-23,14,2025-07-23 13:00:00-05:00,2025-07-23 13:30:00-05:00,2025-07-23 13:30:00-05:00,0,,,0.0,
1004,2025-07-23,15,2025-07-23 13:30:00-05:00,2025-07-23 14:00:00-05:00,2025-07-23 14:00:00-05:00,0,,,0.0,
1004,2025-07-23,16,2025-07-23 14:00:00-05:00,2025-07-23 14:30:00-05:00,2025-07-23 14:30:00-05:00,0,,,0.0,
1004,2025-07-23,17,2025-07-23 14:30:00-05:00,2025-07-23 15:00:00-05:00,2025-07-23 15:00:00-05:00,0,,,0.0,
1004,2025-07-23,18,2025-07-23 15:00:00-05:00,2025-07-23 15:30:00-05:00,2025-07-23 15:30:00-05:00,0,,,0.0,
1004,2025-07-23,19,2025-07-23 15:30:00-05:00,2025-07-23 16:00:00-05:00,2025-07-23 16:00:00-05:00,0,,,0.0,
1004,2025-07-23,20,2025-07-23 16:00:00-05:00,2025-07-23 16:30:00-05:00,2025-07-23 16:30:00-05:00,1,1.0,83.2,36.2,2.0
